fiscal_year,aging_bucket,total_amount
2020/2021,31 to 60 days,86422119.0
2020/2021,4 to 5 years,5455941527.0
2020/2021,61 to 90 days,91306827.0
2020/2021,91 to 365 days,305825358.0
2020/2021,Less than one year,101580603899.0
2020/2021,Not past due,15203588553.0
2020/2021,Over 365 days,955868492.0
2020/2021,Over 5 years,31520382774.0
2021/2022,0-30 days,0.0
2021/2022,1 to 2 years,9437675892.0
2021/2022,1 to 30 days,726216896.0
2021/2022,2 to 3 years,7100138760.0
2021/2022,3 to 4 years,7484436613.0
2021/2022,31 to 60 days,41342258.0
2021/2022,4 to 5 years,5794184810.0
2021/2022,61 to 90 days,34344764.0
2021/2022,91 to 365 days,403518456.0
2021/2022,Less than one year,122830713876.0
2021/2022,Not past due,9026378733.0
2021/2022,Over 365 days,911085967.0
2021/2022,Over 5 years,36448285898.0
2022/2023,0-30 days,0.0
2022/2023,1 to 2 years,12911696296.0
2022/2023,1 to 30 days,0.0
2022/2023,2 to 3 years,7161997527.0
2022/2023,3 to 4 years,6594995350.0
2022/2023,31 to 60 days,0.0
2022/2023,4 to 5 years,7265258985.0
2022/2023,61 to 90 days,0.0
2022/2023,91 to 365 days,0.0
2022/2023,Less than one year,129068841460.0
2022/2023,Not past due,0.0
2022/2023,Over 365 days,0.0
2022/2023,Over 5 years,41541485024.0
2023/2024,0-30 days,0.0
2023/2024,1 to 2 years,15629559614.0
2023/2024,1 to 30 days,0.0
2023/2024,2 to 3 years,11102677676.0
2023/2024,3 to 4 years,6472273265.0
2023/2024,31 to 60 days,0.0
2023/2024,4 to 5 years,6148561966.0
2023/2024,61 to 90 days,0.0
2023/2024,91 to 365 days,0.0
2023/2024,Less than one year,143129970887.0
2023/2024,Not past due,0.0
2023/2024,Over 365 days,0.0
2023/2024,Over 5 years,47803803798.0
2024/2025,0-30 days,0.0
2024/2025,1 to 2 years,19229916396.0
2024/2025,1 to 30 days,0.0
2024/2025,2 to 3 years,16432880577.0
2024/2025,3 to 4 years,11386653808.0
2024/2025,31 to 60 days,0.0
2024/2025,4 to 5 years,7129877220.0
2024/2025,61 to 90 days,0.0
2024/2025,91 to 365 days,0.0
2024/2025,Less than one year,146899614097.0
2024/2025,Not past due,0.0
2024/2025,Over 365 days,0.0
2024/2025,Over 5 years,43728628424.0
category/categorie/fra,0-30 days,0.0
category/categorie/fra,1 to 2 years,0.0
category/categorie/fra,1 to 30 days,0.0
category/categorie/fra,2 to 3 years,0.0
category/categorie/fra,3 to 4 years,0.0
category/categorie/fra,31 to 60 days,0.0
category/categorie/fra,4 to 5 years,0.0
category/categorie/fra,61 to 90 days,0.0
category/categorie/fra,91 to 365 days,0.0
category/categorie/fra,Less than one year,0.0
category/categorie/fra,Not past due,0.0
category/categorie/fra,Over 365 days,0.0
category/categorie/fra,Over 5 years,0.0
section-lvl1/niv1/eng,0-30 days,0.0
section-lvl1/niv1/eng,1 to 2 years,0.0
section-lvl1/niv1/eng,1 to 30 days,0.0
section-lvl1/niv1/eng,2 to 3 years,0.0
section-lvl1/niv1/eng,3 to 4 years,0.0
section-lvl1/niv1/eng,31 to 60 days,0.0
section-lvl1/niv1/eng,4 to 5 years,0.0
section-lvl1/niv1/eng,61 to 90 days,0.0
section-lvl1/niv1/eng,91 to 365 days,0.0
section-lvl1/niv1/eng,Less than one year,0.0
section-lvl1/niv1/eng,Not past due,0.0
section-lvl1/niv1/eng,Over 365 days,0.0
section-lvl1/niv1/eng,Over 5 years,0.0
section-lvl1/niv1/fra,0-30 days,0.0
section-lvl1/niv1/fra,1 to 2 years,0.0
section-lvl1/niv1/fra,1 to 30 days,0.0
section-lvl1/niv1/fra,2 to 3 years,0.0
section-lvl1/niv1/fra,3 to 4 years,0.0
section-lvl1/niv1/fra,31 to 60 days,0.0
section-lvl1/niv1/fra,4 to 5 years,0.0
section-lvl1/niv1/fra,61 to 90 days,0.0
section-lvl1/niv1/fra,91 to 365 days,0.0
section-lvl1/niv1/fra,Less than one year,0.0
section-lvl1/niv1/fra,Not past due,0.0
section-lvl1/niv1/fra,Over 365 days,0.0
section-lvl1/niv1/fra,Over 5 years,0.0
section-lvl2/niv2/fra,0-30 days,0.0
section-lvl2/niv2/fra,1 to 2 years,0.0
section-lvl2/niv2/fra,1 to 30 days,0.0
section-lvl2/niv2/fra,2 to 3 years,0.0
section-lvl2/niv2/fra,3 to 4 years,0.0
section-lvl2/niv2/fra,31 to 60 days,0.0
section-lvl2/niv2/fra,4 to 5 years,0.0
section-lvl2/niv2/fra,61 to 90 days,0.0
section-lvl2/niv2/fra,91 to 365 days,0.0
section-lvl2/niv2/fra,Less than one year,0.0
section-lvl2/niv2/fra,Not past due,0.0
section-lvl2/niv2/fra,Over 365 days,0.0
section-lvl2/niv2/fra,Over 5 years,0.0
